Headline,URL
1984: How did the Isle of Jura help shape Orwell's masterpiece?Orwell's celebrated novel is celebrating 75 years in print but its message is as important as ever.13 mins agoScotland,/news/articles/cyrrylklzjdo
1984: How did the Isle of Jura help shape Orwell's masterpiece?,
"What big business wants for South Africa’s futureWith a unity government in the offing, the economy is a crucial subject for negotiations.2 hrs agoAfrica",/news/articles/c3ggn22zymyo
What big business wants for South Africa’s future,
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this yearFour of the Supreme Court justices revealed book deals were part of their earnings in 2023. 12 hrs agoUS & Canada",/news/articles/c4nnpd7jng9o
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this year",
"India v Pakistan - When, where, time & rank T20 legendsIndia and Pakistan meet in one of the biggest games in cricket on Sunday at the T20 World Cup - here's everything you need to know. 3 hrs agoCricket",/sport/cricket/articles/c988nee342wo
"India v Pakistan - When, where, time & rank T20 legends",
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBCWitnesses tell the BBC the Myanmar army tortured and killed dozens of men in a village in Rakhine State.2 days agoAsia",/news/articles/ckmm6jep6l7o
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",
'I'm not actually looking for a man in finance'Megan Boni's 'Looking for a man in finance' TikTok has been viewed millions of times.9 hrs ago,/news/articles/c4nn503jz81o
'I'm not actually looking for a man in finance',
Most watched,
"1Choking during sex led to real violence, woman says",/news/videos/cevvn1dpgvzo
"Choking during sex led to real violence, woman says",
2On the coastal path near where Michael Mosley was last seen,/news/videos/cv22dz0w7k2o
On the coastal path near where Michael Mosley was last seen,
3What are Joro spiders and should you be scared of them?,/news/videos/crggmy00k4do
What are Joro spiders and should you be scared of them?,
4One-minute World News,/news/10462520
One-minute World News,
5'Wanna feed the giraffe?' Moment toddler grabbed from truck,/news/videos/cl44z1ne6e1o
'Wanna feed the giraffe?' Moment toddler grabbed from truck,
Also in news,
"Confident Putin warns Europe is ‘defenceless’The Russian leader appears to believe that in the current stand-off, the West will blink first.15 hrs agoEurope",/news/articles/cn00e422yr2o
Confident Putin warns Europe is ‘defenceless’,
Is Caitlin Clark treated 'harshly' or is the WNBA tough?New fans say the basketball star faces rough fouls and tough play. Longtime viewers say that is how the league has always been.20 mins agoUS & Canada,/news/articles/cx88pq1711yo
Is Caitlin Clark treated 'harshly' or is the WNBA tough?,
Trump judge flags social post claiming verdict knowledgeJudge Merchan says the poster claims to be a cousin of a juror with inside knowledge of the outcome.9 hrs agoUS & Canada,/news/articles/clkk4y93ypvo
Trump judge flags social post claiming verdict knowledge,
"Black support for Trump overstated, Charlamagne saysThe radio host told the BBC black voters are frustrated with Democrats, but he doesn't see a mass political defection.14 hrs agoUS & Canada",/news/articles/cjqqkjy41zno
"Black support for Trump overstated, Charlamagne says",
US urges Israel to be transparent over Gaza school strikeIsrael says it killed at least nine militants but the deaths of 14 children are also being reported.13 hrs agoWorld,/news/articles/cekkd8k2gy9o
US urges Israel to be transparent over Gaza school strike,
Is Caitlin Clark treated 'harshly' or is the WNBA tough?New fans say the basketball star faces rough fouls and tough play. Longtime viewers say that is how the league has always been.20 mins agoUS & Canada,/news/articles/cx88pq1711yo
Is Caitlin Clark treated 'harshly' or is the WNBA tough?,
Week in pictures: 1 -7 June 2024 A selection of striking news photographs taken around the world this week.9 hrs agoIn Pictures,/news/articles/ckkk4xd6gy9o
Week in pictures: 1 -7 June 2024,
"The rise and rise of fashion giant SheinThe retailer could be heading for London's stock market, but its rise has not come without controversy.12 hrs agoBusiness",/news/articles/cp991n2v0m2o
The rise and rise of fashion giant Shein,
Trump judge flags social post claiming verdict knowledgeJudge Merchan says the poster claims to be a cousin of a juror with inside knowledge of the outcome.9 hrs agoUS & Canada,/news/articles/clkk4y93ypvo
Trump judge flags social post claiming verdict knowledge,
Most read,
1Search for Dr Michael Mosley shifts to remote area,/news/articles/cxrrg9qxgd0o
Search for Dr Michael Mosley shifts to remote area,
2Danish PM suffered whiplash in street attack,/news/articles/cv22k0rkl99o
Danish PM suffered whiplash in street attack,
3Nasa 'Earthrise' astronaut dies at 90 in plane crash,/news/articles/cw99wj5e5q8o
Nasa 'Earthrise' astronaut dies at 90 in plane crash,
4Confident Putin warns Europe is ‘defenceless’,/news/articles/cn00e422yr2o
Confident Putin warns Europe is ‘defenceless’,
5I married the love of my life in a Ukrainian bunker - then he was killed,/news/articles/cv220gq7p31o
I married the love of my life in a Ukrainian bunker - then he was killed,
6Taylor Swift review: Pop's heartbreak princess dazzles in Edinburgh,/news/articles/cqlld2g4232o
Taylor Swift review: Pop's heartbreak princess dazzles in Edinburgh,
7Australia drops case against X over stabbing videos,/news/articles/cv229qm7nepo
Australia drops case against X over stabbing videos,
8The rise and rise of fashion giant Shein,/news/articles/cp991n2v0m2o
The rise and rise of fashion giant Shein,
9Modi to be sworn in as India's PM on Sunday,/news/articles/c999v798e91o
Modi to be sworn in as India's PM on Sunday,
10UN adds Israel to list of militaries committing violations against children,/news/articles/c8883ndp2lko
UN adds Israel to list of militaries committing violations against children,
Sport,
"'For Scotland, no party, as Euros farewell falls flat'Craig Gordon's Hollywood exit turns sour as Scotland throw away a two-goal lead against Finland in their final Euro 2024 warm-up at Hampden.11 hrs agoScotland Men",/sport/football/articles/cg33d997v7no
"'For Scotland, no party, as Euros farewell falls flat'",
'Queen of clay' Swiatek v late bloomer Paolini - Paris final previewIga Swiatek takes on Jasmine Paolini in the final of the French Open as she bids for a fifth Grand Slam title.12 hrs agoTennis,/sport/tennis/articles/c2qq12drq92o
'Queen of clay' Swiatek v late bloomer Paolini - Paris final preview,
Afghanistan thrash sorry New ZealandAfghanistan crush New Zealand by 84 runs in Guyana to make it two wins from two at the T20 World Cup.4 hrs agoCricket,/sport/cricket/articles/cldd361lgxvo
Afghanistan thrash sorry New Zealand,
Alonso fastest as practice disrupted by rainAston Martin driver Fernando Alonso is fastest in Friday practice at the Canadian Grand Prix on a day disrupted by intermittent rain.10 hrs agoFormula 1,/sport/formula1/articles/cv22vy4vx39o
Alonso fastest as practice disrupted by rain,
Ireland win first European gold since 1998 Ireland secure a first European Athletics Championships gold medal since 1998 as their 4x400m mixed relay team superbly triumphs in Rome.12 hrs agoAthletics,/sport/athletics/articles/cqeezqqzg4vo
Ireland win first European gold since 1998,
'Queen of clay' Swiatek v late bloomer Paolini - Paris final previewIga Swiatek takes on Jasmine Paolini in the final of the French Open as she bids for a fifth Grand Slam title.12 hrs agoTennis,/sport/tennis/articles/c2qq12drq92o
'Queen of clay' Swiatek v late bloomer Paolini - Paris final preview,
"'Boring' & 'dismal' - but are England still 'ready' for Euros after loss?While England's performance against Iceland was described as ""dismal"", there is still a belief they can ""absolutely"" win Euro 2024.11 hrs agoEngland Men",/sport/football/articles/cd114w719vzo
'Boring' & 'dismal' - but are England still 'ready' for Euros after loss?,
Afghanistan thrash sorry New ZealandAfghanistan crush New Zealand by 84 runs in Guyana to make it two wins from two at the T20 World Cup.4 hrs agoCricket,/sport/cricket/articles/cldd361lgxvo
Afghanistan thrash sorry New Zealand,
British Broadcasting Corporation,/
Home,https://www.bbc.com/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
